account,name,link,keywords,language
@alexstandiford@fosstodon.org,Alex Standiford,https://fosstodon.org/@alexstandiford,core-contributor plugin-developer wordcamp-speaker,en
@andyfragen@wptoots.social,Andy Fragen,https://wptoots.social/@andyfragen,core-contributor core-team meta-contributor plugin-developer test-contributor wordcamp-speaker,en
@courtneyr_dev@fosstodon.org,Courtney Robertson,https://fosstodon.org/@courtneyr_dev,core-contributor marketing-contributor meta-contributor meta-team pattern-author photo-contributor plugin-developer test-contributor training-contributor training-team wordcamp-speaker,en
@dan@danq.me,Dan Q,https://m.danq.me/@dan,automattician,en
@danielauener@wptoots.social,Daniel Auener,https://wptoots.social/@danielauener,plugin-developer wordcamp-speaker wptoots.social-admin,en
@dartiss@mastodon.social,David Artiss,https://mastodon.social/@dartiss,core-contributor meetup-organizer plugin-developer support-contributor translation-contributor wordcamp-speaker,en
@donnacavalier@wptoots.social,Donna Cavalier,https://wptoots.social/@donnacavalier,core-contributor meta-contributor pattern-author photo-contributor,en
@donncha@mastodon.ie,Donncha Ó Caoimh,https://mastodon.ie/@donncha,core-contributor plugin-developer translation-contributor,en
@dothewoo@mastodon.social,BobWP,https://mastodon.social/@dothewoo,wordcamp-organizer wordcamp-speaker,en
@edent@mastodon.social,Terence Eden,https://mastodon.social/@Edent,core-contributor plugin-developer translation-contributor,en
@futtta@mastodon.social,Frank Goossens,https://mastodon.social/@futtta,core-contributor plugin-developer translation-contributor translation-editor,en
@gutenbergtimes@twit.social,Birgit Pauli-Haack,https://twit.social/@gutenbergtimes,community-contributor community-team core-contributor core-team documentation-contributor documentation-team meetup-organizer meta-contributor photo-contributor test-contributor wordcamp-organizer wordcamp-speaker,en
@hgg@wp-social.net,Hans-Gerd Gerhards,https://wp-social.net/@hgg,meetup-organizer photo-contributor plugin-developer support-contributor support-team test-contributor translation-contributor translation-editor,de
@jasontucker@simian.rodeo,Jason Tucker,https://simian.rodeo/@jasontucker,wordcamp-organizer wordcamp-speaker,en
@jeffpaul@mastodon.social,Jeffrey Paul,https://mastodon.social/@jeffpaul,core-contributor core-performance-contributor core-performance-team core-team documentation-contributor meta-contributor plugin-developer security-contributor security-team test-contributor tide-contributor tide-team translation-contributor wordcamp-speaker,en
@jrtashjian@talos.link,JR Tashjian,https://talos.link/@jrtashjian,core-contributor meta-contributor plugin-developer wordcamp-speaker,en
@lopo@mastodon.uno,Enrico Battocchi,https://mastodon.uno/@lopo,core-contributor plugin-developer translation-contributor translation-editor wordcamp-organizer wordcamp-speaker,it en
@mattwatson@wptoots.social,Matt Watson,https://wptoots.social/@mattwatson,plugin-developer wordcamp-organizer,en
@mbootsman@toot.re,Marcel Bootsman,https://toot.re/@mbootsman,core-contributor documentation-contributor hosting-contributor meta-contributor plugin-developer support-contributor support-team translation-contributor translation-editor wordcamp-organizer wordcamp-bpeaker,en
@mhanes@tech.lgbt,Meagan Hanes,https://tech.lgbt/@mhanes,community-contributor core-contributor meetup-organizer photo-contributor plugin-developer training-contributor wordcamp-organizer wordcamp-speaker,en
@nahuai@mastodon.social,Nahuai Badiola,https://mastodon.social/@nahuai,meetup-organizer photo-contributor plugin-developer translation-contributor translation-editor wordcamp-organizer wordcamp-speaker,en es
@nielsdeblaauw@phpc.social,Niels de Blaauw,https://phpc.social/@nielsdeblaauw,core-contributor plugin-developer translation-contributor wordcamp-speaker,en
@nbwpuk@infosec.exchange,Neil Batchelor,https://infosec.exchange/@nbwpuk,meetup-organizer,en
@overengineer@fosstodon.org,overengineer,https://fosstodon.org/@overengineer,plugin-developer translation-contributor translation-editor,en
@pfefferle@mastodon.social,Matthias Pfefferle,https://mastodon.social/@pfefferle,core-contributor hosting-contributor hosting-team meta-contributor photo-contributor plugin-developer theme-developer translation-contributor translation-editor wordcamp-speaker,en de
@phillycodehound@masto.ai,Seth Goldstein,https://masto.ai/@phillycodehound,photo-contributor,en
@ramonfincken@mastodon.social,ramon fincken,https://mastodon.social/@ramonfincken,core-contributor plugin-developer,nl en 
@remkus@set.wordperf.com,Remkus de Vries,https://set.wordperf.com/@remkus,core-contributor meetup-organizer meta-contributor photo-contributor plugin-developer support-contributor support-team translation-contributor translation-editor wordcamp-organizer wordcamp-speaker wordpress-tv-contributor wordpress-tv-team,en
@roytanck@mastodon.online,Roy Tanck,https://mastodon.online/@roytanck,core-contributor meta-contributor photo-contributor plugin-developer translation-contributor translation-editor wordcamp-speaker,en
@ross@fosstodon.org,Ross Wintle,https://fosstodon.org/@ross,core-contributor plugin-developer wordcamp-speaker,en
@rossm@mastodon.green,Code Amp,https://mastodon.green/@rossm,core-contributor plugin-developer,en
@sebastienserre@wptoots.social,Sébastien SERRE,https://wptoots.social/@sebastienserre,core-contributor documentation-contributor meta-contributor photo-contributor plugin-developer translation-contributor translation-editor wordcamp-speaker,fr en
@sjblom@mastodon.nl,Sjoerd Blom,https://mastodon.nl/@sjblom,photo-contributor translation-contributor wordcamp-organizer wordcamp-speaker,nl en
@stefanocassone@mastodon.uno,Stefano Cassone,https://mastodon.uno/@stefanocassone,meetup-organizer photo-contributor photos-team translation-contributor translation-editor wordcamp-organizer,it
@steffen@dewp.space,Steffen Dressler,https://dewp.space/@steffen,translation-contributor translation-editor wordcamp-organizer,en de
@sterndata@fosstodon.org,Steven Stern,https://fosstodon.org/@sterndata,core-contributor meta-contributor support-contributor support-team wordcamp-organizer wordcamp-speaker,en
@tillkruss@mastodon.social,Till Krüss,https://mastodon.social/@tillkruss,core-contributor core-performance-contributor core-performance-team plugin-developer theme-developer translation-contributor,en
@tim@mastodon.timnolte.com,Tim Nolte,https://mastodon.timnolte.com/@tim,core-contributor plugin-developer translation-contributor wordcamp-organizer wordcamp-speaker,en
@viewfromthebox@mastodon.social,Jacob Martella,https://mastodon.social/@viewfromthebox,meetup-organizer photo-contributor plugin-developer theme-developer wordcamp-organizer wordcamp-speaker,en
@wceurope@mstdn.social,WordCamp Europe,https://mstdn.social/@wceurope,WordCamp,en
@webaware@social.linux.pizza,Ross McKay,https://social.linux.pizza/@webaware,bbpress-contributor core-contributor plugin-developer translation-contributor translation-editor,en
